Year,Predicted_Value
2023,20400453.783597827
2024,53757399.25919914
2025,203991352.62388873
2026,224899874.75946975
2027,219304216.06173396
2028,219178582.05309868
2029,220084104.89638114
2030,220433374.37327886
2031,220281792.62566876
2032,220281792.62566876
2033,220281792.6256776
2034,220281792.6256776
2035,220281792.6256776
