Year,Predicted_Value
2018,42828900.5034821
2019,141736203.8787856
2020,240298695.8648827
2021,245421893.7842822
2022,229263017.80109024
2023,311289038.8495784
2024,262968128.20726395
2025,289987888.0753894
2026,274657607.5806763
2027,280124082.8992872
2028,276794370.85509276
2029,276888430.65984297
2030,276888430.65984297
2031,276888430.65984297
2032,276888430.6598382
2033,276888430.6598382
