Year,Predicted_Value
2023,26880959.572309375
2024,101295510.12138295
2025,243755583.41669846
2026,229607278.5126257
2027,234979185.34566236
2028,229970002.0489602
2029,235620286.32423568
2030,228449236.28126264
2031,233739358.04857874
2032,231340744.65953326
2033,233039851.44755244
2034,232633207.16312647
2035,232633207.16313076
