Year,Predicted_Value
2024,77265333.4680748
2025,179731709.83923125
2026,343588991.60307217
2027,288981888.78135943
2028,350953338.996907
2029,288372196.8965533
2030,351804389.84113646
2031,287403654.2582991
2032,351155266.01216006
