Year,Predicted_Value
2016,781481393.5830169
2017,589797993.7691579
2018,366847796.0438428
2019,192775800.54894972
2020,277998453.82775927
2021,211968540.89339352
2022,258554687.42984867
2023,260071476.51468205
2024,260120139.93346024
2025,260120139.9334557
2026,260120139.93344665
2027,260120139.93346024
2028,260120139.93346024
2029,260120139.9334557
