Year,Predicted_Value
2014,242176877.64547682
2015,381855639.58368254
2016,399820558.8865552
2017,305188343.36013246
2018,298203261.40310955
2019,317831315.4958627
2020,306543761.21045136
2021,262637543.49686313
2022,238002561.56094003
2023,310218181.79162335
2024,300388502.59970546
2025,301002277.3549764
2026,300587900.6372087
